seller_sku,price,cover_bag,box_stamp,tui_16_22,tui_18_28,tui_22_32
hoanh_thanh_500g,11000,400,800,1,0,0
hoanh_thanh_10kg,215000,3000,800,0,0,5
banh_canh_thuong_1kg,10000,700,1000,0,1,0
banh_canh_gao_1kg,13000,700,1000,0,1,0
hu_tieu_sa_dec_1kg,22000,800,200,0,0,1
mi_u_1kg,18000,800,200,0,0,1
mi_trung_1kg,18000,800,200,0,0,1
bot_chien_1kg,18000,0,800,0,0,0
mi_tau_30_vat,48000,800,1000,0,0,1
mi_tau_20_vat,32000,700,900,0,1,0
mi_tau_10_vat,16000,400,600,1,0,0
mi_tau_5kg,216000,2800,1000,1,0,3
hu_tieu_hoc_mon_1kg,21000,800,200,0,0,1
banh_it_khoai_mi_10_dau_dua,60000,800,1000,0,0,1
banh_it_khoai_mi_10_dua,60000,800,1000,0,0,1
mi_phuc_kien_1kg,25000,800,200,0,0,1
sui_cao_1kg,20000,400,1000,0,0,1
ha_cao_tom_1kg,60000,500,500,0,0,0
ha_cao_thit_1kg,60000,500,500,0,0,0
ha_cao_mix_1kg,60000,500,500,0,0,0
banh_goi_1kg,29000,800,1000,0,0,1
ruot_hau_500g,27500,500,500,0,0,0
